OBJECTID,UID,POSTALCODE,MUNICIPAL,PROV,LONGITUDE,LATITUDE,NUMBER OF DOGS,DERP FACTOR
5613,C258930C-71FC-49A6-9662-CCB59FD1C0D6,L0R0A2,LINCOLN,ON,-79.47719342,43.17732214,16,282
2295,1F0209DB-6931-4F3A-97A1-7D89A74956A1,L0R0A8,WEST LINCOLN,ON,-79.47971977,43.00870408,17,125
2311,E658A662-AC99-440B-BD0F-D16A81D5511C,L0R0B3,WEST LINCOLN,ON,-79.71628268,43.07827312,16,138
2163,1F825E5B-1622-4450-8D6D-DD89DA6E2667,L0R0B4,WEST LINCOLN,ON,-79.53911895,43.09434547,14,63
5328,26492349-A531-41B0-A162-D047F3D13EDD,L0R0B6,LINCOLN,ON,-79.36757155,43.16368887,10,173
948,84EB75B1-55EF-4A43-9D71-00C29D876CA0,L0R1B0,LINCOLN,ON,-79.4735671,43.1572413,14,260
949,97C0C055-0785-4FA2-99F1-037950567F23,L0R1B0,LINCOLN,ON,-79.4753735,43.16449083,7,146
2049,1D2AE2A3-4817-461F-84A3-5488CD6E0F52,L0R1B0,LINCOLN,ON,-79.47417989,43.16444956,16,120
2347,4BC1E4E3-D3AD-4B2E-8811-3D2F633BB7DA,L0R1B0,LINCOLN,ON,-79.50947475,43.18729461,1,190
2348,5F0346E7-622D-49F5-B231-509F28D572A4,L0R1B0,LINCOLN,ON,-79.51202083,43.18204429,11,171
2349,748857DB-E032-4C72-AA09-92EEB6974F89,L0R1B0,LINCOLN,ON,-79.510442,43.16320196,18,83
11387,A9D21409-B652-4364-B27B-5153A4D46C44,L0R1B0,LINCOLN,ON,-79.47617349,43.19318863,18,52
11388,7299F1C6-3F7A-4574-81E5-6CF1F86BC70C,L0R1B0,LINCOLN,ON,-79.4791878,43.1683568,15,128
11389,8C390BFD-95E0-4355-AB6E-B363FABDBAC5,L0R1B0,LINCOLN,ON,-79.47815127,43.1694209,0,134
11390,72CB3CD7-C6B7-431F-9B92-50716E57FBD8,L0R1B0,LINCOLN,ON,-79.47994392,43.17041116,3,450
11391,AF940290-321E-4AB8-AB68-584C60D10F3D,L0R1B0,LINCOLN,ON,-79.47923709,43.1707061,11,112
11395,D1F9724F-D183-42B1-92AE-5318D32510DF,L0R1B0,LINCOLN,ON,-79.47584057,43.14550194,4,69
